Title,clean_synopsis
The Gentlemen,american expat mickey pearson built highly profitable marijuana empire london word get looking cash business forever trigger plot scheme bribery blackmail attempt steal domain
Bullet Train,unlucky assassin ladybug determined job peacefully one many gig gone rail fate however may plan ladybug latest mission put collision course lethal adversary around globe connected yet conflicting objective world fastest train
PK,stranger city asks question one asked known initial man innocent question childlike curiosity take journey love laughter letting go
Celebrity Sex Tape,group college nerd secretly record washed celebrity sex post tape internet publicity revives actress career every b list celebrity reality show reject celebutante hollywood want star guy next production
Rika 3: Juvenile's Lullaby,reform school way protecting society ridding lawless juvenile delinquent protecting juvenile delinquent corrupt reform school rica could considered bit expert reform school spent early life rica dragged back get severe beating finally sent mental hospital intention selling pal slave trade trader take rica friend jun mountain cottage pegged lead clandestine porno film operation tough nail rica bust corrupt racket
Father Figures,upon learning mother lying year allegedly deceased father two fraternal twin brother hit road order find
Baby's Day Out,baby bink ask adoring somewhat sickly sweet parent life huge mansion appear social page paper unfortunately everyone world nice baby bink parent especially three enterprising kidnapper pretend photographer newspaper successfully kidnapping baby bink harder time keeping hold rascal keep one step ahead seems little bit smarter three bumbling criminal
My Dead Friend Zoe,merit u army veteran suffering ptsd repeatedly tortured vision deceased friend company buddy zoe afghanistan service attends group therapy dale grandfather former lieutenant colonel recently diagnosed alzheimer merit step aide discovers family also gaining courage put metaphorical demon rest
The Adam Project,accidentally crash landing time traveling fighter pilot adam reed team year old self mission save future
Airplane!,ex fighter pilot forced take control airliner flight crew succumbs food poisoning
Knives Out,renowned crime novelist harlan thrombey found dead estate th birthday inquisitive debonair detective benoit blanc mysteriously enlisted investigate harlan dysfunctional family devoted staff blanc sifts web red herring self serving lie uncover truth behind harlan untimely death
Barefoot,black sheep son wealthy family meet young psychiatric patient raised isolation entire life take naive young woman home brother wedding improbable romance bloom impress everyone genuine simple charm
The Hangover Part II,hangover crew head thailand stu wedding disaster bachelor party la vega last year stu playing safe mellow pre wedding brunch however nothing go planned bangkok perfect setting another adventure rowdy group
Freaky Tales,oakland mysterious force guide town underdog four interconnected tale teen punk defend turf nazi skinhead rap duo battle hip hop immortality weary henchman get shot redemption nba star settle score
Asteroid City,american desert town circa itinerary junior stargazer space cadet convention spectacularly disrupted world changing event
Megamind,megamind highly intelligent alien supervillain defeat long time nemesis metro man megamind creates new hero fight must act save city creation becomes even worse villain
Migration,migrating duck family alights pond thrilling tale far flung place mallard family embarks family road trip new england new york city tropical jamaica
Mean Girls,cady heron hit plastic list girl clique new school make mistake falling aaron samuel ex boyfriend alpha plastic regina george
American Pie Presents: Band Camp,everyone moved except sherman jim levenstein still understanding father little matt stiffler want join older brother steve business everything matt heard jim band geek wife plan go back band camp make video
Austin Powers in Goldmember,world shagadelic spy continues fight dr evil time diabolical doctor clone mini team new foe kingpin goldmember pursuing team villain stop world domination austin get help dad old girlfriend
This Is the End,attending party james franco house seth rogen jay baruchel many celebrity faced apocalypse
No Strings Attached,emma busy doctor set seemingly perfect arrangement offer best friend adam relationship one rule string attached fling becomes thing sex friend stay best friend
Ferris Bueller's Day Off,high school slacker ferris bueller successfully fake illness order skip school day go series adventure throughout chicago girlfriend sloane best friend cameron trying outwit wily school principal fed sister
"Monsters, Inc.",lovable sulley wisecracking sidekick mike wazowski top scare team monster inc scream processing factory monstropolis little girl named boo wanders world monster scared silly sulley mike keep sight get back home
Despicable Me 2,gru recruited anti villain league help deal powerful new super criminal
The SpongeBob Movie: Sponge on the Run,best friend gary suddenly snatched away spongebob take patrick madcap mission far beyond bikini bottom save pink shelled pal
My Favorite Martian,ambitious television reporter tim hara stumble upon martian whose spaceship accidentally crashed earth thinking ticket pulitzer prize tim make plan expose martian posing tim uncle martin take human form plan fact tim effort divulge truth systematically thwarted resourceful alien ultimately recruit tim help repair ship return mar
We're the Millers,veteran pot dealer creates fake family part plan move huge shipment weed u mexico
The Birdcage,middle aged gay life partner armand goldman jewish drag club owner albert club flamboyant star attraction live eclectic community south beach raised straight son newly engaged son year old val want bring fianc e barbara ultraconservative parent home meet family first time val request armand pretend straight jewish attempt hide relationship albert order please barbara father controversial right wing republican sen kevin keeley
Happy Gilmore,failed hockey player turned golf whiz happy gilmore whose unconventional approach antic green court ire rival shooter mcgavin determined win pga tournament save granny house prize money meanwhile attractive tour publicist try soften happy image
The Ice Age Adventures of Buck Wild,fearless one eyed weasel buck team mischievous possum brother crash eddie head new adventure buck home dinosaur world
Easy A,olive average high school student see radar existence turn around overnight decides use school gossip grapevine advance social standing classmate turning school board becoming concerned including favorite teacher distracted guidance counselor support hilariously idiosyncratic parent little help long time crush olive attempt take notorious new identity crush rumor mill
Dumb and Dumber To,year since first adventure lloyd harry go road trip find harry newly discovered daughter given adoption
Scooby-Doo,mystery inc gang invited spooky island popular amusement park soon discover attraction thing spooky strange thing happening scooby shaggy fred daphne velma uncover truth behind mysterious happening
Tourist Family,quirky sri lankan family seeking fresh start india transforms disconnected neighborhood vibrant community infectious love kindness
The Banshees of Inisherin,two lifelong friend find impasse one abruptly end relationship alarming consequence
Hot Fuzz,former london constable nicholas angel find difficult adapt new assignment sleepy british village sandford miss excitement big city also well meaning oaf partner however series grisly accident rock sandford angel smell something rotten idyllic village
Sonic the Hedgehog,powered incredible speed sonic hedgehog embrace new home earth sonic spark attention super uncool evil genius dr robotnik super villain v super sonic race across globe stop robotnik using sonic unique power world domination
